occ90,occ90_desc,occ00,occ00_desc,conversion_factor
,,042,Social and community service managers,6.024
,,050,"Agents and business managers of artists, performers, and athletes",86.747
,,062,"Human resources, training, and labor relations specialists",2.410
,,073,Other business operations specialists,4.819
035,Construction inspectors,,,
,,666,Construction and building inspectors,100.000
036,"Inspectors and compliance officers, except construction",,,
,,056,"Compliance officers, except agriculture, construction, health and safety, and transportation",21.849
,,090,Financial examiners,1.261
,,093,"Tax examiners, collectors, and revenue agents",7.563
,,102,Computer software engineers,1.261
,,202,Miscellaneous community and social service specialists,0.420
,,354,Other healthcare practitioners and technical occupations,13.445
,,382,Detectives and criminal investigators,2.101
,,390,Animal control workers,0.420
,,391,Private detectives and investigators,10.084
,,601,Agricultural inspectors,24.370
,,604,"Graders and sorters, agricultural products",0.840
,,666,Construction and building inspectors,9.664
,,874,"Inspectors, testers, sorters, samplers, and weighers",3.361
,,941,Transportation inspectors,3.361
037,"Management related occupations, n.e.c.",,,
,,060,Cost estimators,21.583
,,072,Meeting and convention planners,0.719
,,073,Other business operations specialists,45.324
,,500,First-line supervisors/managers of office and administrative support workers,6.475
,,570,Secretaries and administrative assistants,25.899
043,Architects,,,
,,130,"Architects, except naval",100.000
044,Aerospace engineers,,,
,,132,Aerospace engineers,100.000
045,Metallurgical and materials engineers,,,
,,145,Materials engineers,99.057
,,306,Physicians and surgeons,0.943
046,Mining engineers,,,
,,062,"Human resources, training, and labor relations specialists",2.778
,,150,"Mining and geological engineers, including mining safety engineers",97.222
047,Petroleum engineers,,,
,,030,Engineering managers,0.990
,,143,"Industrial engineers, including health and safety",0.990
,,152,Petroleum engineers,94.059
,,193,Geological and petroleum technicians,3.960
048,Chemical engineers,,,
,,030,Engineering managers,1.460
,,135,Chemical engineers,95.620
,,145,Materials engineers,2.920
049,Nuclear engineers,,,
,,142,Environmental engineers,1.802
,,151,Nuclear engineers,98.198
053,Civil engineers,,,
,,030,Engineering managers,0.763
,,136,Civil engineers,96.183
,,142,Environmental engineers,3.053
054,Agricultural engineers,,,
,,133,Agricultural engineers,100.000
055,Electrical and electronic engineers,,,
,,030,Engineering managers,0.877
,,102,Computer software engineers,20.614
,,111,Network systems and data communications analysts,0.877
,,140,Computer hardware engineers,6.579
,,141,Electrical and electronic engineers,52.632
,,153,"Engineers, all other",14.474
,,290,Broadcast and sound engineering technicians and radio operators,3.947
056,Industrial engineers,,,
,,043,"Managers, all other",6.204
,,143,"Industrial engineers, including health and safety",89.781
,,145,Materials engineers,2.920
,,354,Other healthcare practitioners and technical occupations,1.095
057,Mechanical engineers,,,
,,140,Computer hardware engineers,0.415
,,143,"Industrial engineers, including health and safety",3.320
,,146,Mechanical engineers,96.266
058,Marine engineers and naval architects,,,
,,144,Marine engineers and naval architects,89.011
,,933,Ship engineers,10.989
059,"Engineers, n.e.c.",,,
,,030,Engineering managers,3.067
,,134,Biomedical engineers,1.840
,,142,Environmental engineers,11.656
,,143,"Industrial engineers, including health and safety",4.908
,,146,Mechanical engineers,4.294
,,153,"Engineers, all other",74.233
063,Surveyors and mapping scientists,,,
,,131,"Surveyors, cartographers, and photogrammetrists",97.802
,,155,"Engineering technicians, except drafters",2.198
064,Computer systems analysts and scientists,,,
,,011,Computer and information systems managers,1.190
,,071,Management analysts,0.595
,,100,Computer scientists and systems analysts,45.536
